1358,"VA Form 1358, Estimated Miscellaneous Obligation or Change in Obligation"
IE,"Interface Engine
A device or software application that connects disparate system, transforms data, converts data, routes data, ensures the delivery of data and is rules based. The IE provides a consistent HL7 compliant communication environment. That is separate from the specific and individual application needs. Within this environment messages can be routed, transformed, converted and delivery guaranteed as required by the application."
IEN,"Internal Entry Number
Used by FileMan, it is a unique number assigned to each entry in an M global.
The number used to identify an entry within a file. Every record has a unique internal entry number."
IFCAP,"Integrated Funds Distribution, Control Point Activity, Accounting and Procurement
IFCAP package automates functions in Acquisition and Materiel Management (A&MM), Fiscal and for all VA Services that request supplies and services. The goal of IFCAP is to integrate these three areas and allow users to share procurement and financial information.
IFCAP consists of several functional components, each responsible for a similar set of tasks:
- FUNDS DISTRIBUTION allows Fiscal Service to establish Fund Control Points, and track funding for budget purposes.
- CONTROL POINT ACTIVITY automates the preparation of requests, the electronic transmission of requests to A&MM and Fiscal services and the bookkeeping processes within a service.
- PROCUREMENT allows A&MM to transfer IFCAP-generated requests onto purchase orders and requisitions, process receiving documents in the warehouse, and create and transmit code sheets to Austin.
- ACCOUNTING automates the creation of code sheets, handles the processing of certified invoices, and facilitates the electronic transmission of code sheets and receiving documents to the Financial Management System (FMS) located in Austin, Texas. In addition, IFCAP transfers obligation information back to the Control Point and updates the Control Point balance automatically.
- INVENTORY permits services to maintain their own on-line inventory and establish an average stock level, record the distribution of goods to secondary location(s), and automatically generate IFCAP requests for replenishment purposes. Secondary locations may maintain their own inventory if they wish.
- RFQ enables the Purchasing Agent (PA) to create a Request for Quotation (RFQ), evaluate bids, award the order, and generate the purchase order. Using IFCAP and the Electronic Data Interchange (EDI) functionality that currently exists in Austin, the PA can electronically send the RFQ to one or many vendors and receive the bids electronically
- PURCHASE CARD permits users at Service level and in A&MM to generate purchase orders against assigned credit card(s). Charges are passed electronically from the Austin Credit Card System (CCS) to IFCAP and users reconcile payments with IFCAP Purchase Orders. The assigned Approving Official then approves reconciled orders. The local IFCAP Purchase Card Registration file is maintained by the station designated Purchase Card Coordinator. Reconciled orders are then approved by assigned Approving Officials. There are many reports that provide data on the status of the purchase card orders and timeliness of the reconciliation and approval processes.
- DELIVERY ORDERS permits users to generate purchase orders for contract items at the Service-level. Using switches that are site configurable, orders can bypass Fiscal and be obligated at time of signing by Service-level staff.
IFCAP isn’t just a Fiscal and A&MM concern. IFCAP affects how every Control Point processes requests."
IRM,"Information Resource Management
A service at VA medical centers responsible for computer management and system security."
IFR,Institution File Redesign
IG,"Implementation Guide
A document explaining the proper use of a standard for a specific business purpose. The X12N HIPAA IGs are the primary reference documents used by those implementing the associated transactions, and are incorporated into the HIPAA regulations by reference."
IHE,Integrating the Healthcare Enterprise
IHS,"Indian Health Service
Mission to raise the physical, mental, social, and spiritual health of American Indians and Alaska Natives to the highest level. The IHS currently provides health services to approximately 1.5 million American Indians and Alaska Natives who belong to more than 557 federally recognized tribes in 35 states."
Imaging System,"The VistA Imaging System is an extension of the Veterans Health Information System Technology Architecture (VistA) hospital information system that captures a wide range of clinical images, scanned documents, and other non-textual data files and makes them part of the patient’s electronic medical record."
IMDQ,"The Identity Management Data Quality Team
is a group of Data Management Analysts committed to improving and safeguarding the quality and accessibility of patient data throughout the VA enterprise. They are involved in many data quality initiatives, but their primary role is to assist VHA facilities in all matters related to the MPI."
Imprest Funds,Monies used for cash or 3rd party draft purchases at a VA facility.
IV&V,"Independent Verification and Validation
The IV&V team supports the HSD&D mission by promoting standardization, improving software release quality and effectiveness of healthcare delivery through planned and controlled evaluation, testing, and integration of healthcare information systems. Visit the http://vista.med.va.gov/ivv/ site for additional information."
inpatient,Patient who has been admitted to a hospital in order to be treated for a particular condition.
inpatient visit,"The admission of a patient to a VAMC and any clinically significant change related to treatment of that patient. For example, a treating specialty change is clinically significant, whereas a bed switch is not. The clinically significant visits created throughout the inpatient stay would be related to the inpatient admission visit. If the patient is seen in an outpatient clinic while an inpatient, this is treated as a separate encounter."
Input Template,A pre-defined list of fields that together comprise an editing session.
Institution,"A Department of Veterans Affairs (VA) facility assigned a number by headquarters, as defined by Directive 97-058. An entry in the INSTITUTION file (#4) that represents the VHA.
A major hospital with subdivisions, usually has a name < 30 letters and a three-digit division ID"
ICN,"Integration Control Number
The Integration Control Number is a unique identifier assigned to patients when they are added to the MPI. The ICN follows the ASTM-E1714-95 standard for a universal health identifier. ICNs link patients to their records across VA systems."
IEN,"Internal Entry Number
The number used to identify an entry within a file. Every record has a unique internal entry number."
interdisciplinary note,"A feature of TIU for expressing notes from different care givers as a single episode of care. They always start with a single note by the initial contact person (e.g., triage nurse, case manager, attending) and continue with separate notes created and signed by other providers, then attached to the original note."
interface terminology,"As opposed to reference terminology, this is a format of the terminology that aims at facilitating its access and use by end-users."
Invitation for VIST Review,"This is an invitation to blinded veterans from VIST, offering a health evaluation. Veterans may accept or deny the invitation. This letter satisfies the requirements of M-2, Part XXIII and is meant to be printed as a mass mailing."
IOD,Information Object Definition
IP,"1. Inpatient Medications
2. Integration Point"
IR,Incident Reporting
IRA,Initial Request Analysis.
IRM,"Information Resources Management
A service at VA medical centers responsible for computer management and system security."
IRMS,Information Resources Management Service
IRS Exemption Letter,This letter advises the Internal Revenue Service of legally blind status of veterans. This letter requires editing and is to be printed for individual veterans.
IRT,"Incomplete Record Tracking
A package TIU can interface with to transmit incomplete progress notes and discharge summaries."
ISMS,"Integrated Supply Management System
System in which catalog information exists. You can query for description and category stock number. ISMS is the system which replaced LOG I for Expendable Inventory."
ISO,"1. Information Security Officer. Every medical center within the VA has one.
Information Security Officer. Person responsible for information security at each VA Medical Center. Works in conjunction with Regional Security Officers (RISOs).
2. International Standards Organization"
ISS,Infrastructure and Security Services.
ISSRA,Interim Security Services for Rehosted Applications
ITAC,"Information Technology Approval Committee
was established as an advisory committee to the Chief Information Officer to ensure that the Information Technology (IT) program supports VHA goals and to provide guidance concerning priorities for IT initiatives."
item file,"A listing of items specified by A&MM service as being purchased repetitively. This file maintains a full description of the item, related stock numbers, vendors, contract numbers and a procurement history."
item history,Procurement information stored in the Item File. A history is kept by Fund Control Point and is available to the Control Point at time of request.
Item Master File,"A data base of items specific to each A&MMS. This file maintains a full description of the item and costs, as well as other related information, such as stock number, vendor, contract number and a procurement history."
Item Master Number,A computer generated number used to identify an item in the Item Master file.
Iterative Development,"The technique used to deliver the functionality of a system in a successive series of releases of increasing completeness. Each iteration is focused on defining, analyzing, designing, building, and testing a set of requirements."
ISC,Information Systems Coordinator
IV,Intravenous
IVM,Income Verification Match
J-Codes,"Previously HCPCS Level II has contained a set of codes with a high-order value of ""J"" to identify some drugs and some other items. The final HIPAA transactions and code set rule states that any J-codes identifying drugs will be dropped from the HCPCS and NDC codes will be used to identify all drug products."
JAAS,Java Authentication and Authorization Service.
JCAHO,Joint Commission on the Accreditation of Health Care Organizations
JPTA,Joint Patient Tracking Application
justification,A written explanation of why the Control Point requires the items requested. Adequate justification must be given if the goods are being requested from other than a mandatory source.
KDC,Kernel Delphi Components
kernel,"VistA software that functions as an intermediary between the host operating system and other VistA software applications so that VistA software can coexist in a standard operating-system-independent computing environment. Kernel provides a standard and consistent user and programmer interface between software applications and the underlying M implementation.
The kernel provides shared services for VistA applications, system management tools, and a portability layer between the underlying operating system and application code. The shared services include sign-on and security management, menu management, error processing, a device handler, background task management, software installation, and library functions. System management tools permit optimization of site parameters to meet local requirements, system status reports, performance analysis, and alerting. Examples of site parameters include number of permissible failed access attempts before device lockout, password lifetimes, maximum spooled document size, batched job processor assignment, and task prioritization. The portability layer function provides application programmers with a stable environment despite changes in the underlying hardware, operating systems, or M interpreter.
The Kernel is the software “scaffolding” that supports all VistA applications.
XU - EVE-menu name."
KIDS,Kernel Installation and Distribution System
Kiosk,Public workstations shared by multiple users.
KMPR,Capacity Management
LA,Automated Lab Instruments
LEDI,Laboratory Electronic Data Interchange
LHR,legal health record
LBR,Library
LIM,Laboratory Information Manager
Library Serials Module,"VA libraries spend a large portion of their materials budgets on serials such as medical journals. Each library has more than 100 active subscriptions and retrospective holdings for over 1000 titles are not unusual. The efficient management of these collections in terms of time and money is very important.
The Serials Module provides automation of the data needed to manage these collections, exact bibliographic identification of the item; data on costs, vendors, numbers of copies; the ability to assign routings to titles and generate the routing slips automatically; a two-key check-in process to speed up the daily workload; and numerous reports for claims, holdings lists, and statistics."
LMIP,Laboratory Management Index Program
LSI,"Laboratory System Interface
an instrument for translating data between VistA and auto instruments."
liquidation,"The amount of money posted to the 1358 or Purchase Order as a payment to the vendor. They are processed through payment/invoice tracking.
The Invoice Tracking process starts with the invoice received at the station. The invoice is then reviewed and logged into the IFCAP Payment/Invoice Tracking module where its movement thru the process is monitored."
List Manager,"A VistA software product that creates a framework for user actions. List Manager is part of the VistA software infrastructure.
VALM - EVE-menu."
Local Registry,"The local file of patients that have either passed the selection rules and been added automatically to the registry, or have been added manually by a designated Coordinator."
Local Registry Update,This process adds new patients (that have had data entered since the last update was run and pass the selection rules) to the local registry.
LOG I,LOG I is the name of the Logistics A&MM computer located at the Austin Automation Center.
LOINC,"Logical Observation Identifier Names and Codes.
LOINC is a terminology generally accepted as the exchange standard for laboratory results. It was introduced in 1994 by the Regenstrief Institute (Clem McDonald & Stan Huff).
medical standards"
LUT,Look Up Table
M,"Formerly named MUMPS
Massachusetts General Hospital Utility Multi-Programming System is a software package, which consists of a high level programming language and a built-in database.
Supported M systems: Intersystems M/SQL, DataTree DTM-PC, and MSM-Unix."
M&IS,Messaging & Interfaces Services
MAH,Medication Administration History
mail message,An entry in the MESSAGE file (#3.9). The VistA electronic mail system (MailMan) supports local and remote networking of messages.
MailMan,"VistA software that provides a mechanism for handling electronic communication, whether it's user-oriented mail messages, automatic firing of bulletins, or initiation of server-handled data transmissions.
MailMan is another of VistA's core element with roots in the late 1970s. MailMan's name does not fully describe its functionality. Mail- Man is a general purpose messaging system that transmits messages such as email and alerts, computer programs, data dictionaries, and data. Senders and recipients can be users or programs within a single facility or anywhere within VHA. MailMan provides programmers with an API so that messaging can be easily integrated into applications (e.g. email report output, or notify staff of particular events).
An electronic mail, teleconferencing, and networking system which is an integral part of the Kernel.
Mailman is an integrated data channel in VistA for the distribution of:
- Patches (Kernel Installation and Distribution System or KIDS builds)
- Software releases (KIDS builds)
- Computer-to-computer communications (HL7 transfers, Servers, etc.)
- Person-to-person messaging (email)
XM - EVE menu.
File Manager"
Manager Account,"UCI that can be referenced by non-manager accounts such as production accounts. Like a library, the MGR UCI holds percent"
Mandatory Field,Field that requires a value. A null response is not valid.
Mandatory Source,"A Federal Agency that sells supplies and services to the VA, Defense Logistics Agency (DLA), General Services Administration (GSA), etc."
mapping,Mappings are sets of relationships of varying complexity established between two vocabularies in order to allow automated translation or connection between them. More specific concepts can generally be mapped accurately to more general concepts. Mappings cannot be used to add specificity to information that was captured at a more generic level.
MAS,"Medical Administration Service
This service, where it still exists, is now generally referred to as Health Administration Service.
Now Patient Information Management System (PIMS)."
Maximum Defined Data Set,"Under HIPAA, this is ""… all of the required data elements for a particular standard based on a specific implementation specification."" [45 CFR 162.103]. A framework under HIPAA whereby an entity creating a transaction is free to include whatever data any receiver might want or need. The recipient of a maximum data set is free to ignore any portion of the data not needed to conduct their part of the associated business transaction, unless the nonessential data is needed for coordination of benefits."
MCMASTER,"Glossary of Epidemiology Terms
medical standards"
Means Test,A financial report used to determine if a patient may be required to make Copayments for care.
Medical Code Sets,"Codes that characterize a medical condition or treatment. The code sets are usually maintained by professional societies and public health organizations.
medical standards"
META,Unified Medical Language System Metathesaurus
MIRMO,Medical Information Resources Management Office.
MIS,Common abbreviation/synonym used at VA site facilities for the Medical Information Section of Medical Administration Service. May be called HIMS (Health Information Management Section).
MIS Manager,Manager of the Medical Information Section of Medical Administration Service at the site facility who has ultimate responsibility to see that MRTs complete their duties.
MCCR,"Medical Care Cost Recovery
A VISTA entity which supports Integrated Billing and many data capture pilot projects related to PCE."
MDM,Medical Document Management
MedDRA,"Medical Dictionary for Regulatory Activities
is a clinically validated international medical terminology used by regulatory authorities and the regulated biopharmaceutical industry throughout the entire regulatory process, from pre-marketing to post-marketing activities, and for data entry, retrieval, evaluation, and presentation. In addition, it is the adverse event classification dictionary endorsed by the International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). MedDRA is used in the US, European Union, and Japan. Its use is currently mandated in Europe and Japan for safety reporting.
MedDRA is managed by the MSSO (Maintenance and Support Services Organization), an organization that reports to the International Federation of Pharmaceutical Manufacturers and Associations (IFPMA). MedDRA is free for regulators and priced according to company revenue for industry. MedDRA is also available in Japanese. The Japanese counterpart for MSSO is called JMO.
The MedDRA dictionary is organized by System Organ Class (SOC), divided into High-Level Group Terms (HLGT), High-Level Terms (HLT), Preferred Terms (PT) and finally into Lower-Level Terms (LLT). In addition, the MedDRA dictionary includes Standardized MedDRA Queries (SMQs). SMQs are groupings of terms that relate to a defined medical condition or area of interest.
medical standards"
medical intelligence,"is the assessment of potential health risks and health care capabilities that allows planning for medical countermeasures, health care support and medical personnel support.
National Center for Medical Intelligence (NCMI), formerly known as the Armed Forces Medical Intelligence Center, was established in 1982. NCMI produces medical intelligence for global force protection and homeland health protection to safeguard U.S. interests worldwide.
The growing integration between homeland health protection and medical intelligence allows NCMI to focus on a broader range of foreign medical threats to U.S. military and civilian personnel, allies, and other critical national interests, officials explained — pandemic flu, avian flu or other animal diseases that potentially could threaten the United States, for example. The national center includes a growing network for enhanced situational awareness and early warning, officials added, which will strengthen the integrated picture of health threats to U.S. citizens at home and abroad."
medicine package,"The Medicine package is used for entering, editing, printing medical test results, and storing the data according to Department of Veterans Affairs FileMan structures. Cardiology, Gastrointestinal, Pulmonary, Hematology, Pacemaker, Rheumatology and Generalized Procedure are the current modules. The system also allows the automated interface of some tests such as ECG.
The Medicine package has access to the DHCP Imaging System which allows digital images of procedures to be attached to patient records when run at a workstation.
A Summary of Patient Procedures is provided on each menu. The option is documented in a separate section of the manual. Problem Oriented Consult is another option that is common throughout the Medicine package. Sub-specialty Management menus allow local control over various files such as Medications and Instruments."
menu text,"The descriptive words that appear when a list of option choices is displayed. Specifically, the Menu Text field of the OPTION file (#19). For example, User's Toolbox is the menu text of the XUSERTOOLS option. The option's synonym is TBOX."
MeSH,Medical Subject Headings
message segments,"Each HL7 message is composed of segments. Segments contain logical groupings of data. Segments may be optional or repeatable. A [ ] indicates the segment is optional, the { } indicates the segment is repeatable. For each message category, there will be a list of HL7 standard segments and/or ""Z"" segments used for the message."
MH Assistant,Mental Health Assistant
MHS,Military Health System
major operation,"Any operation performed under general, spinal, or epidural anesthesia plus all inguinal herniorrhaphies and carotid endarterectomies regardless of anesthesia administered."
minor operation,All operations not designated as Major.
MPD,Minimal Patient Dataset
MPI,"The Master Patient Index
is a database located on a system at the Austin Automation Center in Austin, Texas that holds over 14 million VA Patient entries. The role of the MPI is to uniquely identify a patient and ""link"" that patient's data throughout Veterans Health Administration (VHA) facility and corporate databases through the Integration Control Number (ICN). The MPI is the authoritative source for a patient's ICN and the ICN is the enterprise-wide identifier for a veteran and the key to accessing a patient's record across multiple databases.
Creates an index that uniquely identifies each active patient treated by the Veterans Administration and to identify the VHA facilities where a patient is receiving care. This is crucial to the sharing of patient information across sites. Master Patient Index manages the synchronization of patient file information with the Master Patient Index and with the patient's treating facilities to insure that data being shared is stored in the correct patient's record."
MPI/PD,"Master Patient Index/Patient Demographics
Software initializes entries in the PATIENT file (#2) with the Master Patient Index, itself. The initialization process assigns an Integration Control Number (ICN), and creates a Treating Facility list of all sites at which the patient has received care. This information is then updated in the PATIENT file (#2) at all sites where the patient has been treated."
MPPS,Modality Performed Procedure Step
"MR, MRI",Magnetic Resonance Imaging
MRT,"Medical Record Technician
in the Medical Information Section of Medical Administration Service at the site facility who completes the tasks of assuring that all discharge summaries placed in a patient’s medical record have been verified for accuracy and completion and that a permanent chart copy has been placed in a patient’s medical record for each separate admission to the hospital."
MSC Confirmation Message,A MailMan message generated by the Austin Message Switching Center that assigns an FMS number to an IFCAP transmission of documents.
MSD,Military Service Data
MST,Military Sexual Trauma
MTF,DoD Military Treating Facilities
MUMPS,"A programming language recognized by the American National Standards Institute (ANSI). The acronym MUMPS stands for Massachusetts General Hospital Utility Multi-programming System and is abbreviated as M.
Now named M
GT.M"
MVC,Model View Controller
MWB,"Messaging Workbench
MWB is a tool that facilitates the creation of HL7 2.4 message profile definitions. MWB supports exporting of the message metadata into HL7v2 Message Conformance Profile format. (http://vista.med.va.gov/messaging/)
The MWB is a tool for analysts and developers that facilitates the construction, documentation and reporting of message specifications as well as HL7 Conformance profiles. It follows the standards set by the HL7 version 2.4 Conformance Special Interest Group (SIG) and produces profiles that are interoperable with other HL7 compliant messaging tools. In addition to its profile documentation function, this tool includes other features to assist messaging developers, such as reverse engineering, message instance analysis and message instance validation."
MWL,Modality Worklist
N/A,Not Applicable
namespacing,"Convention for naming VistA software elements. The DBA assigns unique two to four character string prefix for software developers to use in naming routines, options, and other software elements so that software can coexist. The DBA also assigns a separate range of file numbers to each software application.
A naming convention followed in the VA to identify various applications and to avoid duplication. The namespace is used as the prefix for all routines and globals used by the application."
NANDA,Classification of Nursing Diagnosis
NDBI,National Database Integration
NDC,"National Drug Code
A medical code set that has been selected for use in the HIPAA transactions."
NDF,National Drug File
New Person (#200) File,"A VistA file that contains data on employees, users, practitioners, etc. of the VA."
New Surgical Case,A surgical case that has not been previously requested or scheduled such as an emergency case. A surgical case entered in the records without being booked through scheduling will not appear on the Schedule of Operations or as an operative request.
NFS,Nutrition and Food Service
NHE,"Network Health Exchange
NHE was developed at the Chicago Westside Veterans Affairs Medical Center (VAMC) and has evolved over several iterations. The NHE is a VistA component that provides clinicians with quick and easy access to patients' information from any site where they have been treated. NHE provides the computer mechanism for VAMC clinicians to retrieve clinical patient data from other medical centers. The requester is notified of returned patient data through an alert that appears with the VistA menu system. Patient data is displayed in a format similar to the integrated clinical reports found in Health Summary and can be viewed onscreen or printed.
The NHE software accesses several VistA files which contain information concerning clinic visits, diagnoses, prescriptions, laboratory tests, radiology exams, and hospital admissions. It enables clinicians to request a total or brief medical or pharmacy record for a specified patient from a specified site or sites. This permits clinical staff to take advantage of the vast amount of clinical data supported through VistA.
NHE is based on the Health Summary software. However, NHE does not make calls to Health Summary so it is not necessary for a site to have Health Summary installed in order to use NHE nor is familiarity with Health Summary required in order to use NHE.
The NHE is another tool, similar to Patient Data Exchange (PDX). As compared to PDX, however, NHE offers fewer retrieval options and requires less input by the user, resulting in simpler, faster access to patient data.
The NHE was the first phase of the MPI/Patient Demographics (MPI/PD project, which was formerly known as the Clinical Information Resource Network [CIRN] Project). The primary goal of the MPI/PD project is to assure full access to patients' information for primary care providers, regardless of location of care. NHE was released as an interim bridge to a more fully integrated clinical patient data exchange system."
NHE Registry,"National Network Health Exchange (NHE) Registry
This VistA software consists of two major components: 1) a local registry for use within a VA health care facility, and 2) a National Registry reflecting the events of care for patients at all VA facilities"
NIC,Nursing Intervention Classifications
NM,Nuclear Medicine
NOC,Nursing Outcomes Classifications
node,"In a tree structure, a point at which subordinate items of data originate. An M array element is characterized by a name and a unique subscript. Thus the terms: node, array element, and subscripted variable are synonymous. In a global array, each node might have specific fields or ""pieces"" reserved for data attributes such as name."
Non-conforming Clinics,"Clinics with stop codes that do not comply with the assigned stop code restriction types of P=Primary, S=Secondary and E=Either."
NOIS,National Online Information System
Non-Formulary Drugs,"The medications, which are defined as commercially available drug products not included in the VA National Formulary."
NPAD,National Person Administrative Database
NPCD,"National Patient Care Database
A database maintained in Austin which stores the minimum data set for all ambulatory care encounters."
NPIRS,"National Patient Information Reporting System
The national repository for I/T/Us. NPIRS is located in Albuquerque, New Mexico, and is operated by the Division of Information Resources (DIR), Office of Management Support (OMS). NPIRS provides a variety of services, including Third Party Billing and Area-wide reports, and is the primary source for defining User populations and for providing I/T/U workload reports to the United States Congress."
NPF,"National Provider File
The database envisioned for use in maintaining a national provider registry."
NSN,"National Stock Number
A number used to identify expendable supply items."
NTRT,New Term Rapid Turnaround Process
numeric field,Response that is limited to a restricted number of digits. It can be dollar valued or a decimal figure of specified precision.
NVS,National VistA Support
obligation,The commitment of funds. The process Fiscal uses to set aside monies to cover the cost of an Order.
OCC,Office of Care Coordination
Occasion of Service,"A specified instance of an act of service involved in the care of a patient or consumer which is not an encounter. These occasions of service may be the result of an encounter; for example, tests or procedures ordered as part of an encounter. A patient may have multiple occasions of service per encounter or per visit."
OCS,VA Office of Cyber Security
OE/RR,"Order Entry/Results Reporting
A VistA product that evolved into the more comprehensive CPRS."
OI,Office of Information
OID,Oracle Internet Directory
OIFO,Office of Information Field Office
OMAHA,Omaha Nursing Diagnosis and Interventions
OOPS,Asists
Orderable Item,"name and dosage form that has no strength attached to it (e.g., Acetaminophen). The name with a strength attached is the Dispense Drug name (e.g., Acetaminophen 325mg)."
Organization Code,"Accounting element functionally comparable to Cost Center, but used to organize purchases by the budget that funded them, not the purposes for spending the funds."
Outpatient Visit,"The visit of an outpatient to one or more units or facilities located in or directed by the provider maintaining the outpatient health care services (clinic, physician’s office, hospital/medical center) within one calendar day. Outpatient encounters include scheduled appointments and walk-in unscheduled visits. A clinician’s telephone communications with a patient may be represented by a separate visit entry."
Outstanding 2237,A&MM report that lists all the IFCAP generated 2237s pending action in A&MM.
package,"A set of MUMPS routines, files, documentation and installation procedures that support a specific function within DHCP."
PACS,Picture Archiving and Communication System
PACU,Post Anesthesia Care Unit.
PAF,Patient Assessment File
PAI,Patient Assessment Instrument
PAID,Personnel and Accounting Integrated Data
PAIT,Patient Appointment Info. Transmission
Partial,A Receiving Report (VA document that shows receipt of goods) for only some of the items ordered on a Purchase Order.
Partial Date,The date that a warehouse clerk created a receiving report for a shipment.
PAT Number,Pending Accounting Transaction number – the primary FMS reference number. See also Obligation Number.
Patient Postings,A component of CPRS that includes messages about patients; an expanded version of CWAD.
PATS,"Patient Advocate Tracking System/application.
When completed, the Patient Advocate Tracking System/application will replace the current, site-based Patient Representative package with a national level application."
PBM,Pharmacy Benefits Management
PCE,"Patient Care Encounter
is a VistA program that is part of the Ambulatory Data Capture Project (ADCP) and also provides Clinical Reminders, which appear on Health summaries.
Patient Care Encounter (PCE) helps sites collect, manage, and display outpatient encounter data (including providers, procedure codes, and diagnostic codes) in compliance with the 10/1/96 Ambulatory Care Data Capture mandate from the Undersecretary of Health.
PCE also helps sites document patient education, examinations, treatments, skin tests, and immunizations, as well as collect and manage other clinically significant data, such as defining Health Factors and Health Maintenance Reminders.
PCE data may come from several sources, including external data acquisition devices (such as mark sense scanners), provider interaction (through workstations or portable computers), or clerical data entry. PCE allows new types of data (such as immunizations and purpose of visit) to be entered and stored, which can be retrieved by patient, ward, or clinic. Information entered through PCE can be viewed on Health Summaries or other reports.
Goals of Ambulatory Data Capture Project
- Capture purpose of visit/problem, diagnoses, procedures, and providers
- Develop a fast, accurate method for getting ambulatory care data into VISTA
- Return clinically relevant data back to the Clinician
- Make data available for workload reporting, DSS, research, MCCR, and other ongoing VHA needs"
PCMM,Primary Care Management Module
PD,Patient Demographics
PDM,Pharmacy Data Management
PDU,Protocol Data Unit
PDX,Patient Data Exchange
Person Class,"An enhancement to the New Person file, XU*8*27 NEW PERSON File Patch (8/5/96), which enables all VAMC providers to be assigned a Profession/ Occupation code (Person Class) so that a Person Class can be associated with each ambulatory patient encounter by October 1, 1996."
Personal Property Management,"A section of A&MM Service responsible for screening all requests for those items available from a Mandatory Source, VA Excess or Bulk sale. They also process requisitions for goods from Federal Agencies and equipment requests. In addition, they maintain the inventory of Warehouse stocked items and all equipment (CMRs) at the facilities they support."
PID,Patient Identification
PIMS,"Patient Information Management System
VistA software package that includes Registration and Scheduling packages."
PIR,Patient Incident Review File
PLU,Patient Lookup
POA,"Purchase Order Acknowledgment
The message received electronically from an EDI vendor acknowledging the placement of an order."
POC,Point of Care
pointer,"The address at which a data value is stored in computer memory. A relationship between two VA FileMan files, a pointer is a file entry that references another file (forward or backward). Pointers can be an efficient means for applications to access data by referring to the storage location at which the data exists."
Potentially Billable Event,"A service, which has all required data elements associated with it. These data elements are collected in the VistA Clinical Application."
PPM/MMS,Personal Property Management/Materiel Management Service.
PPP,Pharmacy Prescription Practices
Primary View,the business process use the patient identity fields across VA facilities referred to as the Primary View of the MPI. Primary View is a transition from and disassociated with the Coordinating Master of Record (CMOR) view of the MPI.
primary physician,The health care provider with primary responsibility for the directcare of the patient. This may be the resident or intern in ateaching facility or the staff physician in a non-affiliated hospital.
prime time hours,"Prime time hours are 8 a.m. to 5 p.m. Monday through Friday, excluding holidays. Non-prime time hours are all other hours (i.e., weekends, nights and holidays)."
Private Integration Agreement,"Where only a single application is granted permission to use an attribute/function of another VistA package. These IAs are granted for special cases, transitional problems between versions, and release coordination. A Private IA is also created by the requesting package based on their examination of the custodian package’s features. Example: one package distributes a patch from another package to ensure smooth installation."
PRN,"Pro Re Nata, Latin meaning ‘as needed’"
PROBLEM,Problem List Code Set
Procedure,A test or action done for or to a patient that can be coded with the CPT coding process.
Progress Notes,module of TIU is used by health care givers to enter and sign online patient progress notes and by transcriptionists to enter notes to be signed by caregivers at a later date. Caregivers may review progress notes online or print progress notes in chart format for filing in the patient’s record.
Prompt Payment Terms,"The discount given to the VA for paying the vendor within a set number of days (e.g., 2% 20 days means the VA will save 2% of the total cost of the order if the vendor is paid within 20 days of receipt of goods)."
protocol,"A set of procedures for establishing and controlling data transmission.
Entry in the PROTOCOL file (#101). Used by the Order Entry/Results Reporting (OE/RR) package to support the ordering of medical tests and other activities."
provider,"The actual provider of care performing the procedure. This provider can be a doctor, nurse, technician, or any designated team of medical professionals.
The entity that furnishes health care to consumers. An individual or defined group of individuals who provide a defined unit of health care services (defined = codable) to one or more individuals at a single session.
Health Care Provider
Under HIPAA, this is ""…a provider of services as defined in the section 1861(u) of the [Social Security] Act, 42 USC 1395x(u), a provider of medical or other health services as defined in section 1861(s) of the Act, 42 USC 1395(s), and any other person or organization who furnishes, bills, or is paid for health care in the normal course of business."" [45 CFR 160.103]
means a provider of services (as defined in section 1861(u) of the Act, 42 U.S.C. 1395x(u)), a provider of medical or health services (as defined in section 1861(s) of the Act, 42 U.S.C. 1395x(s)), and any other person or organization who furnishes, bills, or is paid for health care in the normal course of business."
PSA (DA),Drug Accountability
PSD (CS),Controlled Substances
Pseudo-SSNs,False Social Security Numbers that are calculated internally to VistA and cannot be mistaken for valid SSNs because they end in P.
PSGW (AR/WS),Auto Replenishment/Ward Stock
PSIM,Person Service Identity Management
"PT, PET",Positron Emission Tomography Scan
PT ID,Patient Identification Number
PTF,Patient Treatment File at AAC (Austin Automation Center)
Purchase Card,"A card, similar to a credit card, that Purchase Card Users use to make purchases. Purchase Cards are not credit cards but debit cards that spend money out of a deposited balance of VA funds.
Purchase Card Coordinator"
Purchase Card Coordinator,"A person authorized by a VA station to monitor and resolve delinquent purchase card orders, help VA services record, edit and approve purchase card orders in a timely manner, assign purchase cards to IFCAP users, and monitor the purchase card expenses of VAMC services."
PHA,"Purchase History Add
Information about purchase orders which is automatically sent to Austin for archiving. This same transaction is also used to send a Purchase Order (PO) for EDI processing."
Purchase History Modify (PHM),Information about amendments which is automatically sent to Austin for archiving.
Purchase Order,A government document authorizing the purchase of the goods or services at the terms indicated.
purging,"1. Purging is the process of removing old code sheets and batches from the system. This only removes the data associated with a code sheet or batch number and NOT the actual definition of the code sheets or batches.
2. Removing of files from VistA Imaging Shares when the last access date exceeds the age specification within the local site parameters. Files that are evaluated by the purge process must have verifiable secondary storage references or they are automatically queued for BP archival (Jukebox)."
PV,"Payment Voucher
The Voucher Audit Clerk inspects invoices, maintains invoice records, and records and edits payment information. This role is essential in IFCAP, because Voucher Audit Clerks ensure that vendors are paid promptly and correctly."
